name,address,site_url,diocese,category,parish_list_url
Father Purcell Memorial Center for Exceptional Children,"Montgomery, AL",https://fatherpurcell.org/,Archdiocese of Mobile,Sunday Mass Schedule,https://mobarch.org/parishfinder
Holy Spirit Catholic Parish,"Montgomery, AL",https://holyspiritmgm.org/,Archdiocese of Mobile,Sunday Mass Schedule,https://mobarch.org/parishfinder
Blessed Francis Xavier Seelos Parish,"31122 US Hwy 31, Spanish Fort, AL, 36527",https://francisxseelos.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
Chapel of Our Lady of Bon Secour,"17266 County Road 49 South, Bon Secour, AL, 36511",https://www.stjohnms.com/our-lady-of-bon-secour,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
Christ the King Catholic Church,"711 College Avenue, Daphne, AL, 36526",https://ctkdaphne.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
Our Lady of the Gulf Catholic Church,"308 E. 22nd Avenue, Gulf Shores, AL, 36542",https://olgal.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
Shrine of the Holy Cross & St. John Mission,"612 Main Street, Daphne, AL, 36526",https://shrineoftheholycross.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St Robert Bellarmine Catholic Church,"600 S Main St, Atmore, AL, 36502",https://strobertatmore.com/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. Agatha Parish,"1001 Hand Ave, Bay Minette, AL, 36507",https://stagathabm.com/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. Bartholomew,"12795 Illinois Street, Elberta, AL, 36530",https://stbartselberta.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. John the Baptist Parish,"10800 St. John's Lane, Magnolia Springs, AL, 36535",https://www.stjohnms.com/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. Joseph Catholic Church,"12688 Santa Piedro Street, Lillian, AL, 36549",https://saint-josephs.org/,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. Lawrence Parish,"370 South Section St, Fairhope, AL, 36532",http://www.stlawrencefairhope.com,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
St. Margaret of Scotland Parish,"601 W. Laurel Avenue, Foley, AL, 36535",http://www.stmargaretofscotlandfoley.org,Archdiocese of Mobile,Baldwin/Escambia Deanery,https://mobarch.org/parishfinder
